id,ticker,exists
0,a,1
1,b,1
2,c,1
3,d,1
4,e,1
5,f,1
6,g,1
7,h,1
8,i,0
9,j,1
10,k,1
11,l,1
12,m,1
13,n,0
14,o,1
15,p,0
16,q,0
17,r,1
18,s,1
19,t,1
20,u,1
21,v,1
22,w,1
23,x,1
24,y,0
25,z,1
26,aa,1
27,ab,1
28,ac,1
29,ad,0
30,ae,1
31,af,0
32,ag,1
33,ah,0
34,ai,1
35,aj,0
36,ak,0
37,al,1
38,am,1
39,an,1
40,ao,0
41,ap,1
42,aq,0
43,ar,1
44,as,0
45,at,0
46,au,1
47,av,0
48,aw,0
49,ax,1
50,ay,1
51,az,1
52,ba,1
53,bb,1
54,bc,1
55,bd,0
56,be,1
57,bf,1
58,bg,1
59,bh,1
60,bi,0
61,bj,1
62,bk,1
63,bl,1
64,bm,0
65,bn,1
66,bo,0
67,bp,1
68,bq,1
69,br,1
70,bs,0
71,bt,0
72,bu,0
73,bv,1
74,bw,1
75,bx,1
76,by,1
77,bz,1
78,ca,0
79,cb,1
80,cc,1
81,cd,1
82,ce,1
83,cf,1
84,cg,1
85,ch,0
86,ci,1
87,cj,0
88,ck,0
89,cl,1
90,cm,1
91,cn,1
92,co,0
93,cp,1
94,cq,0
95,cr,1
96,cs,0
97,ct,0
98,cu,0
99,cv,0
100,cw,1
101,cx,1
102,cy,0
103,cz,0
104,da,0
105,db,1
106,dc,1
107,dd,1
108,de,1
109,df,0
110,dg,1
111,dh,1
112,di,0
113,dj,0
114,dk,1
115,dl,0
116,dm,1
117,dn,0
118,do,1
119,dp,0
120,dq,1
121,dr,0
122,ds,0
123,dt,1
124,du,0
125,dv,1
126,dw,0
127,dx,1
128,dy,1
129,dz,0
130,ea,1
131,eb,1
132,ec,1
133,ed,1
134,ee,1
135,ef,0
136,eg,1
137,eh,1
138,ei,0
139,ej,0
140,ek,0
141,el,1
142,em,1
143,en,0
144,eo,0
145,ep,1
146,eq,1
147,er,0
148,es,1
149,et,1
150,eu,1
151,ev,0
152,ew,1
153,ex,0
154,ey,0
155,ez,0
156,fa,1
157,fb,1
158,fc,1
159,fd,0
160,fe,1
161,ff,1
162,fg,1
163,fh,0
164,fi,1
165,fj,0
166,fk,0
167,fl,1
168,fm,1
169,fn,1
170,fo,0
171,fp,0
172,fq,0
173,fr,1
174,fs,0
175,ft,1
176,fu,0
177,fv,1
178,fw,0
179,fx,0
180,fy,0
181,fz,0
182,ga,0
183,gb,1
184,gc,0
185,gd,1
186,ge,1
187,gf,1
188,gg,0
189,gh,1
190,gi,0
191,gj,0
192,gk,1
193,gl,1
194,gm,1
195,gn,0
196,go,1
197,gp,1
198,gq,0
199,gr,0
200,gs,1
201,gt,1
202,gu,0
203,gv,1
204,gw,0
205,gx,0
206,gy,0
207,gz,0
208,ha,1
209,hb,0
210,hc,0
211,hd,1
212,he,1
213,hf,1
214,hg,1
215,hh,0
216,hi,1
217,hj,0
218,hk,0
219,hl,1
220,hm,0
221,hn,0
222,ho,0
223,hp,1
224,hq,0
225,hr,1
226,hs,0
227,ht,1
228,hu,0
229,hv,0
230,hw,0
231,hx,1
232,hy,1
233,hz,0
